smiles,pKi
CCOc1ccc(CNc2nc3cc(ccc3n2CCC(C)C)C(=O)N(CC)CC)cc1,6.452
CCCn1cc(C(=O)C2C(C)(C)C2(C)C)c3ccccc13,8.038
COc1ccc(cc1)S(=O)(=O)c2cc(OC)ccc2Cc3ccc(cc3)[C@H](C)NS(=O)(=O)C,9.222
O=C(C1CCCCC1)c2cn(CCN3CCOCC3)c4ccccc24,6.860
FC(F)(F)Oc1ccccc1C(=O)Nc2sc3COCCc3c2C(=O)N4CCCCC4,6.460
CCCC1COc2cccc3C(=O)C(=CN1c23)C(=O)NC45CC6CC(C)(CC(C)(C6)C4)C5,8.441
CC(C)(C)NOc1ccc(cc1C(=O)\N=C\2/SC(=CN2C[C@H]3CCCO3)C(C)(C)C)C(F)(F)F,8.222
CCCCN1N=C(S/C/1=N\C(=O)c2cc(ccc2O\N=C(/N)\C3CC3)C(F)(F)F)C(C)(C)C,8.602
CC1CCN(CC1)C(=O)c2ccc3c(c2)c4CN(Cc4n3C(=O)C)C5CCCC5,7.055
O=C(Cc1ccccc1)NC(NC(=O)Cc2ccccc2)c3ccccc3,5.003
CC1CCN(CC1)C(=O)c2ccc3c(c2)c4CN(Cc4n3S(=O)(=O)C)C5CCCC5,8.102
CCCCCN1C=C(C(=O)NC2CCCCC2)C(=O)c3c(C)noc13,8.058
CCCc1ccc(C(=O)c2cn(CCC)c3ccccc23)c4ccccc14,8.018
CC1CCC(CC1)NC(=O)C2=Cc3cc(cnc3N(CCN4CCOCC4)C2=O)c5ccc(F)cc5,9.167
CCCCCn1cc(C(=O)Cc2ccc(Br)cc2)c3ccccc13,6.182
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCOC(CO)COC(=O)CCCC#C,7.071
CC(C)[C@@H]1CC[C@H](CC1)C(=O)c2cn(CCN3CCOCC3)c4ccccc24,6.721
Cc1ccc2C(=O)C(=CN(CCN3CCOCC3)c2n1)C(=O)NC4CCCC4,7.301
CCC(C)(C)C(=O)Nc1cc(C)c(C)c(c1)S(=O)(=O)N2CCCCCC2,8.046
Nc1ccc2c(c1)c(OCc3ccc4ccccc4c3)nn2CCN5CCCCC5,5.699
CCCCCN1C=C(C(=O)NC2CCCCCC2)C(=O)n3nc(cc13)c4occc4,8.182
CCCCCN1C=C(C(=O)N[C@H](C)c2ccc3ccccc3c2)C(=O)c4ccccc14,6.234
CCCCCCC1(CCCC1)c2ccc(c(O)c2)c3cc(C)cc(C)c3,8.260
CCc1c(cc(C)n1c2ccccc2)C(=O)NCCc3ccccc3,6.144
CC1CCC(CC1)NC(=O)C2=CC=CN(Cc3ccc(F)cc3)C2=O,8.319
[O-][N+](=O)c1ccc(cc1)C(C(=O)NCCC(c2ccccc2)c3ccccc3)c4ccccc4,6.102
